coral_id,taxa_group,abundance
1,Alpheidae,7
1,Cerithiidae,2
1,Dialidae,4
1,Galatheidae,1
1,Gobiidae,8
1,Labridae,1
1,Muricidae,39
1,Palaemonidae,25
1,Pomacentridae,3
1,Trapeziidae,8
1,Triphoridae,1
1,Trochidae,2
1,hermit,9
1,tanaid,1
1,worm,9
2,Alpheidae,13
2,Cerithiidae,1
2,Columbellidae,1
2,Dialidae,5
2,Galatheidae,1
2,Gobiidae,4
2,Muricidae,2
2,Palaemonidae,5
2,Personidae,1
2,Pomacentridae,4
2,Trapeziidae,3
2,amphipod,1
2,hermit,9
2,worm,2
3,Alpheidae,14
3,Aristeidae,1
3,Asterinidae,1
3,Cerithiidae,2
3,Columbellidae,6
3,Dialidae,1
3,Echinometridae,5
3,Galatheidae,20
3,Gobiidae,10
3,Hippolytidae,1
3,Labridae,2
3,Leucosiidae,1
3,Mitridae,1
3,Muricidae,53
3,Palaemonidae,4
3,Pomacentridae,13
3,Rissoinidae,8
3,Trapeziidae,30
3,Trochidae,2
3,Xanthidae,4
3,amphipod,31
3,brittle,7
3,hermit,35
3,limpet,2
3,worm,9
4,Alpheidae,6
4,Columbellidae,2
4,Galatheidae,1
4,Gobiidae,9
4,Mitridae,1
4,Muricidae,9
4,Palaemonidae,65
4,Pomacentridae,20
4,Rissoinidae,1
4,Trapeziidae,14
4,amphipod,7
4,brittle,2
4,hermit,24
4,worm,2
5,Alpheidae,3
5,Columbellidae,6
5,Cystiscidae,1
5,Echinometridae,1
5,Galatheidae,1
5,Gobiidae,3
5,Mitridae,1
5,Muricidae,8
5,Palaemonidae,15
5,Pomacentridae,7
5,Trapeziidae,5
5,Xanthidae,1
5,brittle,2
5,hermit,9
5,tanaid,1
5,worm,1
6,Alpheidae,11
6,Dialidae,1
6,Galatheidae,2
6,Gobiidae,5
6,Labridae,1
6,Muricidae,3
6,Palaemonidae,60
6,Pomacentridae,15
6,Rissoinidae,2
6,Trapeziidae,7
6,Trochidae,1
6,Xanthidae,1
6,amphipod,1
6,hermit,21
6,worm,3
7,Alpheidae,8
7,Cerithiidae,1
7,Columbellidae,9
7,Dialidae,29
7,Echinometridae,1
7,Galatheidae,2
7,Gobiidae,2
7,Mitridae,2
7,Muricidae,28
7,Palaemonidae,146
7,Pomacentridae,18
7,Rissoinidae,3
7,Trapeziidae,5
7,Xanthidae,1
7,amphipod,4
7,brittle,1
7,hermit,18
7,limpet,1
7,worm,17
8,Alpheidae,10
8,Dialidae,1
8,Galatheidae,6
8,Gobiidae,2
8,Mangeliidae,1
8,Muricidae,4
8,Palaemonidae,35
8,Pomacentridae,15
8,Trapeziidae,3
8,Xanthidae,1
8,amphipod,3
8,hermit,20
8,worm,7
9,Alpheidae,6
9,Cerithiidae,1
9,Dialidae,2
9,Galatheidae,2
9,Gobiidae,5
9,Muricidae,2
9,Palaemonidae,29
9,Pomacentridae,5
9,Rissoinidae,1
9,Trapeziidae,5
9,Trochidae,1
9,hermit,14
9,tanaid,1
10,Alpheidae,12
10,Cerithiidae,1
10,Columbellidae,1
10,Cypraeidae,1
10,Eulimidae,1
10,Gobiidae,7
10,Labridae,1
10,Muricidae,4
10,Palaemonidae,51
10,Pomacentridae,18
10,Rissoinidae,1
10,Trapeziidae,19
10,amphipod,1
10,brittle,1
10,hermit,14
11,Alpheidae,19
11,Cerithiidae,1
11,Columbellidae,3
11,Dialidae,4
11,Echinometridae,1
11,Galatheidae,4
11,Gobiidae,5
11,Haminoeidae,2
11,Mitridae,4
11,Muricidae,44
11,Palaemonidae,55
11,Pomacentridae,8
11,Rissoinidae,9
11,Trapeziidae,12
11,Trochidae,1
11,Xanthidae,1
11,amphipod,7
11,brittle,2
11,hermit,54
11,tanaid,1
11,worm,11
12,Alpheidae,7
12,Costellariidae,1
12,Dialidae,5
12,Gobiidae,1
12,Muricidae,12
12,Palaemonidae,5
12,Pomacentridae,2
12,Trapeziidae,3
12,Xanthidae,1
12,Zebinidae,1
12,amphipod,2
12,hermit,10
12,worm,1
13,Alpheidae,6
13,Columbellidae,5
13,Dialidae,1
13,Disciadidae,1
13,Echinometridae,1
13,Galatheidae,4
13,Gobiidae,5
13,Labridae,1
13,Mitridae,2
13,Muricidae,5
13,Palaemonidae,49
13,Pomacentridae,11
13,Portunidae,1
13,Rissoinidae,2
13,Trapeziidae,10
13,Xanthidae,1
13,amphipod,2
13,bivalve,2
13,hermit,16
13,limpet,1
13,worm,4
14,Alpheidae,6
14,Columbellidae,3
14,Costellariidae,1
14,Galatheidae,1
14,Gobiidae,3
14,Haminoeidae,4
14,Mitridae,2
14,Muricidae,23
14,Palaemonidae,66
14,Pomacentridae,15
14,Rissoinidae,1
14,Trapeziidae,7
14,amphipod,1
14,brittle,3
14,hermit,24
14,tanaid,2
14,worm,1
15,Alpheidae,10
15,Bullidae,1
15,Columbellidae,8
15,Costellariidae,1
15,Dialidae,8
15,Echinometridae,2
15,Galatheidae,7
15,Gobiidae,7
15,Haminoeidae,2
15,Labridae,1
15,Mitridae,2
15,Muricidae,8
15,Palaemonidae,5
15,Pomacentridae,2
15,Rissoinidae,2
15,Tetraliidae,1
15,Trapeziidae,14
15,Triphoridae,1
15,Trochidae,2
15,Xanthidae,3
15,amphipod,1
15,brittle,3
15,hermit,18
15,tanaid,1
15,worm,6
16,Alpheidae,15
16,Columbellidae,3
16,Costellariidae,2
16,Galatheidae,8
16,Gobiidae,7
16,Haminoeidae,2
16,Muricidae,28
16,Palaemonidae,57
16,Pomacentridae,13
16,Rissoinidae,2
16,Tetraliidae,2
16,Trapeziidae,4
16,Xanthidae,1
16,amphipod,7
16,hermit,28
16,tanaid,1
16,worm,2
17,Alpheidae,7
17,Cerithiidae,2
17,Columbellidae,4
17,Dialidae,7
17,Galatheidae,1
17,Gobiidae,6
17,Hippolytidae,1
17,Mitridae,1
17,Muricidae,67
17,Palaemonidae,60
17,Pomacentridae,16
17,Rissoinidae,1
17,Trapeziidae,17
17,Triphoridae,1
17,Xanthidae,2
17,amphipod,13
17,brittle,3
17,hermit,8
17,worm,8
18,Alpheidae,7
18,Cerithiidae,2
18,Columbellidae,3
18,Dialidae,2
18,Gobiidae,1
18,Muricidae,1
18,Palaemonidae,12
18,Pomacentridae,3
18,Rissoinidae,2
18,Trapeziidae,3
18,Triphoridae,2
18,Trochidae,3
18,bivalve,2
18,hermit,5
18,worm,1
19,Alpheidae,11
19,Columbellidae,1
19,Dialidae,5
19,Galatheidae,7
19,Gobiidae,8
19,Lironobidae,1
19,Mitridae,1
19,Mitromorphidae,1
19,Muricidae,28
19,Palaemonidae,27
19,Pilumnidae,1
19,Planaxidae,1
19,Pomacentridae,8
19,Rissoinidae,21
19,Stenopodidae,1
19,Trapeziidae,11
19,amphipod,1
19,bivalve,1
19,brittle,2
19,hermit,41
19,worm,4
20,Alpheidae,2
20,Columbellidae,1
20,Dialidae,6
20,Galatheidae,6
20,Gobiidae,3
20,Hippolytidae,1
20,Mitridae,1
20,Mitromorphidae,1
20,Muricidae,7
20,Palaemonidae,4
20,Pilumnidae,1
20,Pomacentridae,8
20,Rissoinidae,1
20,Trapeziidae,3
20,Xanthidae,1
20,bivalve,2
20,hermit,18
21,Alpheidae,5
21,Costellariidae,2
21,Dialidae,9
21,Gobiidae,7
21,Haminoeidae,1
21,Mitridae,2
21,Muricidae,20
21,Palaemonidae,48
21,Pilumnidae,1
21,Raphitomidae,1
21,Rissoinidae,1
21,Spongicolidae,1
21,Trapeziidae,4
21,Trochidae,1
21,amphipod,1
21,brittle,1
21,hermit,14
21,worm,8
22,Alpheidae,9
22,Cerithiidae,4
22,Cingulopsidae,1
22,Columbellidae,4
22,Dialidae,34
22,Disciadidae,1
22,Galatheidae,5
22,Gobiidae,1
22,Muricidae,8
22,Palaemonidae,34
22,Pomacentridae,1
22,Pyramidellidae,1
22,Rissoidae,2
22,Rissoinidae,40
22,Trapeziidae,17
22,Triphoridae,1
22,Trochidae,6
22,Xanthidae,2
22,amphipod,6
22,bivalve,1
22,brittle,3
22,hermit,26
22,tanaid,2
22,worm,7
23,Alpheidae,28
23,Columbellidae,5
23,Costellariidae,1
23,Galatheidae,4
23,Gobiidae,5
23,Mitridae,1
23,Muricidae,12
23,Palaemonidae,95
23,Pomacentridae,14
23,Prodotiidae,1
23,Trapeziidae,13
23,Xanthidae,3
23,amphipod,4
23,brittle,4
23,hermit,22
23,worm,1
24,Alpheidae,23
24,Cerithiidae,2
24,Columbellidae,2
24,Dialidae,4
24,Echinometridae,1
24,Galatheidae,17
24,Gobiidae,3
24,Mitridae,1
24,Muricidae,58
24,Palaemonidae,15
24,Pomacentridae,9
24,Rissoinidae,4
24,Trapeziidae,5
24,Trochidae,3
24,Xanthidae,3
24,amphipod,3
24,bivalve,1
24,brittle,2
24,hermit,21
24,limpet,1
24,worm,2
25,Alpheidae,7
25,Cerithiidae,1
25,Columbellidae,6
25,Dialidae,6
25,Galatheidae,17
25,Mitridae,1
25,Muricidae,3
25,Palaemonidae,8
25,Portunidae,1
25,Trochidae,1
25,Xanthidae,2
25,amphipod,13
25,brittle,1
25,hermit,13
25,worm,3
26,Alpheidae,6
26,Columbellidae,2
26,Dialidae,8
26,Galatheidae,2
26,Gobiidae,6
26,Mitridae,1
26,Muricidae,4
26,Palaemonidae,17
26,Pomacentridae,2
26,Rissoinidae,2
26,Trapeziidae,5
26,Xanthidae,1
26,amphipod,1
26,bivalve,2
26,hermit,10
26,worm,2
27,Alpheidae,21
27,Columbellidae,6
27,Dialidae,1
27,Galatheidae,7
27,Gobiidae,8
27,Labridae,1
27,Mangeliidae,1
27,Muricidae,29
27,Palaemonidae,43
27,Pomacentridae,11
27,Rissoinidae,12
27,Spongicolidae,1
27,Tetraliidae,1
27,Trapeziidae,17
27,Triphoridae,1
27,Xanthidae,3
27,amphipod,2
27,brittle,4
27,hermit,61
27,limpet,1
27,tanaid,1
27,worm,5
28,Alpheidae,11
28,Cerithiidae,1
28,Columbellidae,6
28,Costellariidae,1
28,Echinometridae,1
28,Galatheidae,17
28,Gobiidae,5
28,Haminoeidae,2
28,Muricidae,16
28,Palaemonidae,21
28,Pomacentridae,13
28,Rissoinidae,1
28,Trapeziidae,6
28,amphipod,3
28,bivalve,1
28,hermit,16
29,Alpheidae,7
29,Buccinidae,1
29,Columbellidae,3
29,Cryptochiridae,1
29,Dialidae,10
29,Galatheidae,6
29,Gobiidae,5
29,Muricidae,12
29,Palaemonidae,40
29,Pomacentridae,7
29,Rissoinidae,1
29,Tetraliidae,1
29,Trapeziidae,5
29,Triphoridae,1
29,Xanthidae,2
29,amphipod,2
29,hermit,14
29,worm,4
30,Alpheidae,16
30,Buccinidae,1
30,Cerithiidae,7
30,Columbellidae,7
30,Dialidae,4
30,Galatheidae,5
30,Gobiidae,6
30,Haminoeidae,2
30,Labridae,1
30,Mitridae,1
30,Muricidae,9
30,Palaemonidae,6
30,Pomacentridae,6
30,Rissoidae,1
30,Rissoinidae,9
30,Trapeziidae,5
30,bivalve,6
30,brittle,1
30,hermit,30
30,limpet,1
30,tanaid,1
30,worm,3
31,Alpheidae,12
31,Cerithiidae,1
31,Chilodontidae,1
31,Dialidae,3
31,Epialtidae,1
31,Eulimidae,1
31,Gobiidae,4
31,Mitridae,1
31,Muricidae,40
31,Palaemonidae,35
31,Pomacentridae,10
31,Trapeziidae,5
31,Xanthidae,1
31,bivalve,1
31,brittle,1
31,hermit,22
31,worm,11
32,Alpheidae,8
32,Bullidae,2
32,Cerithiidae,3
32,Columbellidae,2
32,Costellariidae,1
32,Dialidae,6
32,Epialtidae,1
32,Galatheidae,3
32,Gobiidae,2
32,Haminoeidae,4
32,Mitridae,1
32,Muricidae,1
32,Palaemonidae,6
32,Pomacentridae,2
32,Trapeziidae,3
32,Trochidae,1
32,Xanthidae,3
32,amphipod,2
32,bivalve,1
32,hermit,30
32,limpet,2
32,tanaid,4
32,worm,3
33,Alpheidae,27
33,Cerithiidae,1
33,Columbellidae,2
33,Dialidae,4
33,Echinometridae,5
33,Galatheidae,9
33,Gobiidae,5
33,Haminoeidae,1
33,Muricidae,49
33,Palaemonidae,104
33,Pomacentridae,4
33,Rissoidae,1
33,Rissoinidae,26
33,Trapeziidae,10
33,Trochidae,5
33,Xanthidae,2
33,amphipod,20
33,bivalve,2
33,brittle,1
33,hermit,49
33,tanaid,1
33,worm,3
34,Alpheidae,6
34,Cerithiidae,1
34,Columbellidae,4
34,Dialidae,22
34,Galatheidae,34
34,Gobiidae,4
34,Haminoeidae,13
34,Muricidae,9
34,Palaemonidae,9
34,Pomacentridae,2
34,Rissoinidae,4
34,Trapeziidae,4
34,Xanthidae,1
34,amphipod,2
34,bivalve,2
34,brittle,1
34,hermit,39
34,limpet,2
34,worm,10
35,Alpheidae,10
35,Bullidae,2
35,Cerithiidae,2
35,Dialidae,13
35,Eulimidae,2
35,Galatheidae,7
35,Gobiidae,4
35,Haminoeidae,4
35,Mitridae,1
35,Muricidae,29
35,Palaemonidae,34
35,Rissoinidae,3
35,Trapeziidae,6
35,Trochidae,1
35,Xanthidae,3
35,amphipod,3
35,bivalve,1
35,hermit,30
35,tanaid,3
35,worm,6
36,Alpheidae,2
36,Columbellidae,1
36,Cystiscidae,1
36,Dialidae,1
36,Epialtidae,1
36,Galatheidae,2
36,Gobiidae,4
36,Haminoeidae,2
36,Muricidae,12
36,Palaemonidae,12
36,Pomacentridae,6
36,Rissoinidae,2
36,Trapeziidae,6
36,Xanthidae,4
36,bivalve,1
36,hermit,31
36,tanaid,1
36,worm,6
37,Alpheidae,7
37,Cerithiidae,1
37,Columbellidae,4
37,Costellariidae,1
37,Cryptochiridae,1
37,Cystiscidae,1
37,Dialidae,8
37,Galatheidae,10
37,Gobiidae,11
37,Haminoeidae,1
37,Megalopidae,1
37,Mitridae,2
37,Muricidae,17
37,Palaemonidae,57
37,Rissoinidae,12
37,Trapeziidae,13
37,Trochidae,2
37,Xanthidae,3
37,amphipod,1
37,bivalve,1
37,brittle,2
37,hermit,35
37,tanaid,1
37,worm,10
38,Alpheidae,3
38,Cerithiidae,1
38,Cirrhitidae,1
38,Costellariidae,1
38,Cystiscidae,1
38,Dialidae,5
38,Gobiidae,5
38,Haminoeidae,1
38,Megalopidae,1
38,Muricidae,34
38,Palaemonidae,39
38,Pomacentridae,11
38,Rissoinidae,1
38,Trapeziidae,3
38,Trochidae,1
38,amphipod,2
38,hermit,9
38,worm,13
39,Alpheidae,4
39,Dialidae,9
39,Gobiidae,7
39,Muricidae,10
39,Palaemonidae,31
39,Pomacentridae,16
39,Rissoinidae,2
39,Trapeziidae,6
39,Xanthidae,4
39,amphipod,2
39,hermit,52
39,tanaid,2
39,worm,7
40,Alpheidae,27
40,Bullidae,1
40,Columbellidae,2
40,Dialidae,6
40,Galatheidae,3
40,Gobiidae,3
40,Haminoeidae,2
40,Muricidae,14
40,Palaemonidae,6
40,Planaxidae,1
40,Pomacentridae,2
40,Prodotiidae,1
40,Rissoinidae,5
40,Trapeziidae,4
40,Xanthidae,2
40,amphipod,2
40,bivalve,4
40,brittle,1
40,hermit,28
40,tanaid,1
40,worm,4
