coral_id,timepoint,nitrite_nitrate_umol,nitrite_nitrate_belowlimit
2,2,0.29,N
3,2,2.12,N
4,2,0.36,N
6,2,0.88,N
11,2,1.08,N
12,2,0.25,N
13,2,1.32,N
15,2,0.32,N
16,2,0.35,N
18,2,0.33,N
20,2,0.45,N
23,2,2.14,N
27,2,0.31,N
28,2,0.53,N
32,2,0.24,N
33,2,0.26,N
34,2,0.85,N
35,2,0.19,Y
37,2,2.37,N
38,2,0.27,N
2,1,0.26,N
3,1,1.77,N
5,1,0.28,N
10,1,0.33,N
12,1,0.28,N
13,1,4.14,N
14,1,0.95,N
17,1,0.27,N
18,1,0.23,N
19,1,0.46,N
21,1,0.27,N
23,1,7.19,N
24,1,5.48,N
27,1,0.26,N
28,1,0.46,N
30,1,0.24,N
33,1,0.21,N
34,1,1.57,N
35,1,0.2,Y
38,1,0.25,N